Sort,Reference,Source,Site name,Lat (°),Lon (°),Archive,Proxy,Change type,Climate signal,Excursion start (ka),Excursion end (ka),Duration (kyr),Reason not in database or TSid,Note,Biblio DOI
120,"Ely et al. 1993, Ely 1997",Wang et al. 2016,Buckskin Wash,36.389,-111.77,,,,Wet,,,,,,
121,"Ely and Baker 1985, Ely et al. 1993, Ely 1997",Wang et al. 2016,Verde River,33.969,-111.65,,,,Wet,,,,,,
122,"Ely et al. 1993, Ely 1997",Wang et al. 2016,Paria River,36.283,-111.63,,,,Wet,,,,,,
123,"Ely et al. 1993, Ely 1997",Wang et al. 2016,Little Colorado River,35.39,-111.49,,,,Wet,,,,,,
124,"Webb 1985, Webb et al. 1988, Ely et al. 1993, Ely 1997",Wang et al. 2016,Escalante River,36.862,-111.2,,,,Wet,,,,,,
125,"Ely et al. 1993, Ely 1997",Wang et al. 2016,Boulder Creek,37.031,-111.19,,,,Wet,,,,,,
126,"O'Connor et al. 1986, Ely et al. 1993, Ely 1997",Wang et al. 2016,Tonto Creek,33.853,-111.12,,,,Wet,,,,,,
127,"O'Connor et al. 1986, Ely et al. 1993, Ely 1997",Wang et al. 2016,Salt River,33.4,-110.8,,,,Wet,,,,,,
128,"Ely et al. 1993, Ely 1997",Wang et al. 2016,Redfield Creek,32.126,-110.43,,,,Wet,,,,,,
129,"Roberts 1987, Ely et al. 1993, Ely 1997",Wang et al. 2016,Aravaipa Creek,32.484,-110.33,,,,Wet,,,,,,
130,"Ely 1992, Ely et al. 1993, Ely 1997",Wang et al. 2016,Gila River,32.79,-109.41,,,,Wet,,,,,,
131,"Ely et al. 1993, Ely 1997",Wang et al. 2016,San Fransisco River,32.99,-109.21,,,,Wet,,,,,,
132,"Stokes & Gaylord, 1993, Booth et al. 2005",Wang et al. 2016,Ferris/Seminoe Dunefield,42.149,-106.81,,,,Dry,,,,,,
133,,Wang et al. 2016,Colorado (not specified),39.73,-105.6,,,,Dry,,,,,,
134,"Forman et al., 1995, Booth et al. 2005",Wang et al. 2016,Eastern Colorado Dunes,40.335,-104.19,,,,Dry,,,,,,
135,"Mason et al., 1997, Booth et al. 2005",Wang et al. 2016,"Sand Hills, Nebraska",41.817,-102.16,,,,Dry,,,,,,
136,"Dean, 1993, 1997, Booth et al. 2005",Wang et al. 2016,"Elk Lake, Minnesota",46.663,-95.052,,,,Dry,,,,,,
137,"Denniston et al., 1999, Booth et al. 2005",Wang et al. 2016,Coldwater Cave,43.178,-91.458,,,,Dry,,,,,,
138,Booth et al. 2005,Wang et al. 2016,Western Illinois sandsheet,41.267,-89.641,,,,Dry,,,,,,
139,"Davis et al. 1998, Booth et al. 2005",Wang et al. 2016,"Sylvania Wilderness, Michigan",46.307,-88.797,,,,Dry,,,,,,
140,"Hughes et al., 2000; Barber et al., 2003;",Wang et al. 2016,"Abbeyknockmoy, Ireland",53.42,-8.67,,,,Wet,,,,,,
141,,Wang et al. 2016,Ireland (not specified),54.71,-6.24,,,,Wet,,,,,,
142,"Hughes et al., 2000; Barber et al., 2003;",Wang et al. 2016,"Bolton Fell Moss, England",55,-2.77,,,,Wet,,,,,,
143,"Chen 1987, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Cengze, China",32.101,83.921,,,,Dry,,,,,,
144,"Fontes et al. 1996, Xia et al. 2003;  Wu and Liu 2004",Wang et al. 2016,"Bangong, China",30.514,84.279,,,,Dry,,,,,,
145,"Gasse et al. 1991, Fontes et al., 1993; Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Sumxi-Longmu, China",31.001,84.341,,,,Dry,,,,,,
146,"Gu et al. 1993, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Selin, China",26.989,88.132,,,,Dry,,,,,,
147,"Wu and Liu 2004, Xia et al. 2003",Wang et al. 2016,"Heyuan, China",37.629,93.316,,,,Dry,,,,,,
148,"Rhodes et al. 1996, Wei and Gasse 1999, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Manas, China",40.911,93.861,,,,Dry,,,,,,
149,"Tarasov et al. 2000, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Hoton-Nuur, Mongolia",43.824,94.943,,,,Dry,,,,,,
150,"Shi et al. 1993, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Dunde, China",30.883,98.921,,,,Dry,,,,,,
151,"Zhang et al. 2000, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Hongshui, China",30.758,101.746,,,,Dry,,,,,,
152,"Lister et al. 1991, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Qinghai, China",30.216,102.112,,,,Dry,,,,,,
153,"Chen et al. 1999, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Minqging, China",31.182,102.408,,,,Dry,,,,,,
154,Hong et al. 2003,Wang et al. 2016,"Hongyuan peat bog, China",32.77,102.5,,,,Dry,,,,,,
155,"Yan et al. 1999; Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Zoigê, China",27.664,104.222,,,,Dry,,,,,,
156,"Zhang 2001, Wu and Liu 2004",Wang et al. 2016,"Fengyang, China",28.088,109.943,,,,Wet,,,,,,
157,"Wang and Sun 1997, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Chasuqi, China",34.527,111.687,,,,Dry,,,,,,
158,"An et al. 1991, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Daihai, China",33.985,111.866,,,,Dry,,,,,,
159,"Yang 2001, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Diaozihai, China",35.194,111.99,,,,Dry,,,,,,
160,"Tang et al. 1996, Wu and Liu 2004",Wang et al. 2016,"Gongan, China",24.743,113.072,,,,Wet,,,,,,
161,"Yang et al. 1998, Wu and Liu 2004",Wang et al. 2016,"Mianyang , China",24.256,113.617,,,,Wet,,,,,,
162,"Jin and Liu 2002, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Taishizhuang, China",34.896,116.147,,,,Dry,,,,,,
163,Wang et al. 2016,Wang et al. 2016,"Yuchisi, China",32.91,116.52,,,,Dry,,,,,,
164,"Liu et al. 1992, Wu and Liu 2004",Wang et al. 2016,"Qidong, China",26.627,120.724,,,,Wet,,,,,,
165,"Wei et al. 1998, Wu and Liu 2004",Wang et al. 2016,Rc-26-16,20.487,121.269,,,,Wet,,,,,,
166,"Jian et al. 2000, Wu and Liu 2004",Wang et al. 2016,Okinawa Trough,20.911,122.896,,,,Wet,,,,,,
167,"Liu 1989, Xia et al. 2003, Wu and Liu 2004",Wang et al. 2016,"Jinchuan, China",37.566,123.612,,,,Dry,,,,,,
168,"Behling and Hooghiemstra, 1999",Marchant & Hooghiemstra 2004,"Piusbi, Colombia",1.66,-77.89,,,,Wet,,,,,,
169,"Wille et al., 2001",Marchant & Hooghiemstra 2004,"El Camito, Colombia",2.53,-76.6,,,,Wet,,,,,,
170,"Behling and Hooghiemstra, 1999",Marchant & Hooghiemstra 2004,"Carimagua, Colombia",4.04,-74.14,,,,Wet,,,,,,
171,"Wijmstra and van der Hammen, 1966",Marchant & Hooghiemstra 2004,"Lago Agua Sucia, Colombia",3.46,-73.54,,,,Wet,,,,,,
172,"Behling et al., 1999; Behling and Hooghiemstra, 2000",Marchant & Hooghiemstra 2004,"Loma Linda, Colombia",3.22,-73.35,,,,Wet,,,,,,
173,"Behling and Hooghiemstra, 1998",Marchant & Hooghiemstra 2004,"Laguan Angel, Colombia",4.45,-70.54,,,,Wet,,,,,,
174,"Behling and Hooghiemstra, 2000; Berrio et al., 2002",Marchant & Hooghiemstra 2004,"Laguna Chenevo, Colombia",4.05,-70.21,,,,Wet,,,,,,
175,"Thompson et al., 1984, 1995",Marchant & Hooghiemstra 2004,"Quelccaya, Peru",-13.45,-70.05,,,,Wet,,,,,,
176,"Cross et al., 2000; Baker et al., 2001; Rowe et al., 2003",Marchant & Hooghiemstra 2004,"Titicaca, Peru",-12.08,-69.85,,,,Wet,,,,,,
177,"Behling and Hooghiemstra, 1998",Marchant & Hooghiemstra 2004,"Sardinas, Colombia",4.95,-69.45,,,,Wet,,,,,,
178,"Thompson et al., 1988, 2000; Thompson, 1992;",Marchant & Hooghiemstra 2004,"Sajama, Bolivia",-18.16,-68.88,,,,Wet,,,,,,
179,"Bradbury et al., 1981; Leyden, 1985",Marchant & Hooghiemstra 2004,"Lake Valencia, Venezuela",10.32,-67.75,,,,Wet,,,,,,
180,"de Oliveira, 1992",Marchant & Hooghiemstra 2004,"Lagoa dos Olhos, Brazil",0.26,-66.68,,,,Wet,,,,,,
181,"Behling and Hooghiemstra, 2001",Marchant & Hooghiemstra 2004,"Laguna Santa Terresa, Venezuela",4.15,-65.45,,,,Wet,,,,,,
182,"Salgado-Labouriau et al., 1998",Marchant & Hooghiemstra 2004,"Crominia, Brazil",-17.28,-49.45,,,,Wet,,,,,,
183,"Behling, 1993, 1997a, 1997b",Marchant & Hooghiemstra 2004,"Serra da Boa vista, Brazil",-27.7,-49.15,,,,Wet,,,,,,
184,"Salgado-Labouriau et al., 1998",Marchant & Hooghiemstra 2004,"Aguads Emendadas, Brazil",-15.56,-47.58,,,,Wet,,,,,,
185,"Salgado-Labouriau et al., 1998",Marchant & Hooghiemstra 2004,"Lagoa Santa, Brazil",-19.56,-47.45,,,,Wet,,,,,,
186,"Haberle and Maslin, 1999",Marchant & Hooghiemstra 2004,"ODP site 932, Brazil",5.18,-47.03,,,,Wet,,,,,,
187,"Ledru, 1992; Ledru, 1993; Ledru et al., 1994; Ledru et al., 1996; Alexandre et al., 1999",Marchant & Hooghiemstra 2004,"Salitre, Brazil",-19,-46.78,,,,Wet,,,,,,
188,"de Oliveira, 1992; Ledru, 1993; Salgado-Labouriau, 1997; Salgado-Labouriau et al., 1998",Marchant & Hooghiemstra 2004,"Lago Serra Negra, Brazil",-19.5,-46.68,,,,Wet,,,,,,
189,"Behling and Lima da Costa, 2000",Marchant & Hooghiemstra 2004,"Rio Cruca, Brazil",-5.5,-38,,,,Wet,,,,,,
190,"Lézine and Casanova, 1989; Alexandre et al., 1997",Marchant & Hooghiemstra 2004,"Lake Guiers, Senegal",16.3,-16.5,,,,Dry,,,,,,
191,"Servant and Servant-Vildary, 1980; Williams and Faure, 1980; Petit-Maire, 1986",Marchant & Hooghiemstra 2004,"Lake Mali, Mali",16.5,-4.15,,,,Dry,,,,,,
192,"Talbot et al., 1984; Talbot and Johannessen, 1992; Maley and Elenga, 1993; Maley, 1995; Maley and Brenac, 1998; Stager and Anfang-Sutter, 1999",Marchant & Hooghiemstra 2004,Lake Bosumtwi Ghana,6.3,-1.25,,,,Dry,,,,,,
193,"Ballouche and Neumann, 1995",Marchant & Hooghiemstra 2004,"Lake Oursi, Burkina Fasso",14.86,-0.46,,,,Dry,,,,,,
194,"Lézine et al., 1985, 1990; Lézine, 1987;",Marchant & Hooghiemstra 2004,"Torba N’ Diaya, Niger",15.5,5.5,,,,Dry,,,,,,
195,"Maley and Brenac, 1998",Marchant & Hooghiemstra 2004,"Lake Barombi Mbo, Cameroon",3.24,9.05,,,,Dry,,,,,,
196,"Talbot et al., 1984; Talbot and Johannessen, 1992; Reynaud-Farrera et al., 1996",Marchant & Hooghiemstra 2004,"Lake Osa, Cameroon",2.85,10.08,,,,Dry,,,,,,
197,"Stager and Anfang-Sutter, 1999",Marchant & Hooghiemstra 2004,"Lake Bimbili, Cameroon",3.56,10.15,,,,Dry,,,,,,
198,"Holmes et al., 1999; Salzmann and Waller, 1998",Marchant & Hooghiemstra 2004,"Bal Lake, Nigeria",13.18,10.56,,,,Dry,,,,,,
199,"Salzmann and Waller, 1998; Street-Perrot et al., 2000; Gasse, 2002",Marchant & Hooghiemstra 2004,"Kajemarum Oasis, Nigeria",13.12,11.01,,,,Dry,,,,,,
200,"Vincens et al., 1998",Marchant & Hooghiemstra 2004,"Lake Sinnda, Congo",-3.14,11.04,,,,Dry,,,,,,
201,"Williams and Faure, 1980; Servant and Servant-Vildary, 1980; Petit-Maire, 1986; Ghienner et al., 2002",Marchant & Hooghiemstra 2004,"Lake Chad, Chad",13.5,14.3,,,,Dry,,,,,,
202,Servant and Servant-Vildary 1980; Gasse 2002,Marchant & Hooghiemstra 2004,"Termit palaeolake, Chad",11.3,15.4,,,,Dry,,,,,,
203,"Ghienner et al., 2002",Marchant & Hooghiemstra 2004,"Bahr-el-Ghazal, Chad",14.5,17,,,,Dry,,,,,,
204,"Hart et al., 1996; Mercader et al., 2000",Marchant & Hooghiemstra 2004,"Ituli, D.R.C",1.5,28.45,,,,Dry,,,,,,
205,"Street and Grove, 1975; Haberyan and Heckey, 1987;",Marchant & Hooghiemstra 2004,"Lake Kivu, Rwanda, D.R.C",-1.85,28.93,,,,Dry,,,,,,
206,"Gasse and Descourtieux, 1979; Haberyan and Heckey, 1987;  Vincens, 1993; Cohen et al., 1997",Marchant & Hooghiemstra 2004,"Lake Tanganyika, Zambia",-6.14,29.05,,,,Dry,,,,,,
207,"Taylor, 1990; Taylor and Marchant, 1996",Marchant & Hooghiemstra 2004,"Ahakagyezi, Uganda",1.7,29.54,,,,Dry,,,,,,
208,"Ssemmanda and Vincens, 1993; Beuning et al., 1997;",Marchant & Hooghiemstra 2004,"Lake Albert, Uganda",0.5,31.1,,,,Dry,,,,,,
209,"Lézine and Casanova, 1989",Marchant & Hooghiemstra 2004,"Oyo depression, Sudan",10.01,32.1,,,,Dry,,,,,,
210,"Taylor, 1990",Marchant & Hooghiemstra 2004,"Muchoya, Uganda",-1.17,32.48,,,,Dry,,,,,,
211,"Kendall, 1969; Stager and Mayewski, 1997; Stager et al., 1997; 2002; Talbot and Laerdal, 2000",Marchant & Hooghiemstra 2004,"Lake Victoria, Uganda",-1.5,32.5,,,,Dry,,,,,,
212,"Barker et al., 1999;",Marchant & Hooghiemstra 2004,"Lake Kamilili, Kenya",1.1,34.3,,,,Dry,,,,,,
213,"Halfmann and Johnson, 1988",Marchant & Hooghiemstra 2004,"Lake Turkana, Kenya",3.25,36.25,,,,Dry,,,,,,
214,"Street and Grove, 1975; Butzer et al., 1972; Maitima, 1991",Marchant & Hooghiemstra 2004,"Lake Naivasha, Kenya",-1.2,36.45,,,,Dry,,,,,,
215,"Telford and Lamb, 1999; Lamb et al., 2000",Marchant & Hooghiemstra 2004,"Lake Tilo, Ethiopia",7.03,38.05,,,,Dry,,,,,,
216,"Gillespie et al., 1983",Marchant & Hooghiemstra 2004,"Lake Ziway-Shalla, Ethiopia",7.85,39.14,,,,Dry,,,,,,
